Name,Address,Lat,Lng,Phone
The Peached Tortilla,3900 N. Cap TX Hwy 78746,30.7581895,-97.687252,5122228781
The Peached Tortilla,3900 N. Cap TX Hwy 78746,30.243654,-97.7268667,5122228781
Mellizoz Tacos ,1503 S 1st St 78704 ,30.2495779,-97.7546633,5129164996
Choza Taqueria - NYU,124 MacDougal Street 10012,40.730486,-74.000362,2125338226
Choza Taqueria - NYU,124 MacDougal Street 10012,40.729159,-73.999139,2125338226
"Iron Cactus (Downtown);
","606 Trinity St 78701
",30.2672497,-97.7394218,5124729240
Iron Cactus (North),10001 Stonelake Blvd 78759,30.3916382,-97.738613,5124729240
Agave,140 7th Ave south 10014,40.734896,-74.005389,2129892100
